text	ref	p_Id	body_Id
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	27	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	28	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	28	
"Shawville Fair, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	29	
"Masonic Hall, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	29	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	29	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	29	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	29	
"Mallorytown, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Front_of_Yonge&params=44_32_N_75_52_W_region:CA-ON	30	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	30	
"Portage-du-fort, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Portage-du-Fort%2C_Quebec&params=45_36_N_76_40_W_region:CA-QC_type:city(266)	32	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	32	
"Shawville,Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	32	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	32	
"Calumet Island, New York State"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Calumet_Island&params=44_15_00_N_76_05_42_W_region:US-NY_type:isle	33	
"Arnprior,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Arnprior&params=45_26_N_76_21_W_region:CA-ON_type:city(10426)	34	
"Otter Lake, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Otter_Lake%2C_Quebec&params=45_51_N_76_26_W_region:CA-QC_type:city(1109)	37	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	38	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	39	
"Renfrew, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Renfrew%2C_Ontario&params=45_28_18_N_76_40_59_W_region:CA-ON_type:city(8218)	39	
"Bryson, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	40	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	41	
"Foresters Fall, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Whitewater_Region&params=45_43_N_76_50_W_region:CA-ON_type:city(6921)	42	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	42	
"Gravenhurst, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Gravenhurst%2C_Ontario&params=44_55_N_79_22_W_region:CA-ON_type:city(12311)	42	
"Cobden,Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Cobden%2C_Ontario&params=45_37_37_N_76_52_53_W_type:city_region:CA	42	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	43	
"Gatineau, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Gatineau&params=45_29_N_75_39_W_region:CA-QC_type:city(276245)	43	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	44	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
